APPLDW , NAME , TEXT , 500
APPLDW , DESC , TEXT , 120
APPLDW , FUNC , TEXT , 120
APPLDW , PURP , WORD , 1
APPLDW , NUMB , INTEGER , 1
APPLDW , RREF , REFERENCE , 500
APPLDW , RATM , WORD , 500
APPLDW , RATS , WORD , 500
APPLDW , TYPEX , INTEGER , 1
APPLDW , UDATAB , INTEGER , 1000
APPLDW , UDAFTB , REFERENCE , 1000
APPLDW , UDASTB , TEXT , 1000
APPDAR , UDTYPE , INTEGER , 1
APPDAR , TYPEX , INTEGER , 1
APPDAR , NAME , TEXT , 500
APPDAR , DESC , TEXT , 120
APPDAR , FUNC , TEXT , 120
APPDAR , PURP , WORD , 1
APPDAR , NUMB , INTEGER , 1
APPDAR , RREF , REFERENCE , 500
APPDAR , RATM , WORD , 500
APPDAR , RATS , WORD , 500
APPDAR , UDATAB , INTEGER , 1000
APPDAR , UDAFTB , REFERENCE , 1000
APPDAR , UDASTB , TEXT , 1000
APPLDA , CACHID , INTEGER , 1
APPLDA , UDTYPE , INTEGER , 1
APPLDA , TYPEX , INTEGER , 1
APPLDA , NAME , TEXT , 500
APPLDA , DESC , TEXT , 120
APPLDA , FUNC , TEXT , 120
APPLDA , PURP , WORD , 1
APPLDA , GTYP , WORD , 1
APPLDA , TTYP , WORD , 1
APPLDA , SPAM , INTEGER , 1
APPLDA , WDATUM , INTEGER , 6
APPLDA , SPAM , INTEGER , 1
APPLDA , RREF , REFERENCE , 500
APPLDA , RATM , WORD , 500
APPLDA , RATS , WORD , 500
APPLDA , LCNFA , REFERENCE , 500
APPLDA , LCNMA , INTEGER , 1000
APPLDA , LCNLN , INTEGER , 500
APPLDA , UDATAB , INTEGER , 1000
APPLDA , UDAFTB , REFERENCE , 1000
APPLDA , UDASTB , TEXT , 1000
ZONE , UDTYPE , INTEGER , 1
ZONE , TYPEX , INTEGER , 1
ZONE , NAME , TEXT , 500
ZONE , DESC , TEXT , 120
ZONE , FUNC , TEXT , 120
ZONE , PURP , WORD , 1
ZONE , NUMB , INTEGER , 1
ZONE , AREA , INTEGER , 1
ZONE , POS , POSITION , 3
ZONE , ORI , ORIENTATION , 3
ZONE , PSPE , REFERENCE , 1
ZONE , ISPE , REFERENCE , 1
ZONE , TSPE , REFERENCE , 1
ZONE , BENDMACREFERENCE , REFERENCE , 1
ZONE , DUNION , INTEGER , 1
ZONE , MODU , TEXT , 120
ZONE , ORRF , REFERENCE , 1
ZONE , STMF , REFERENCE , 1
ZONE , OFFSRF , REFERENCE , 1
ZONE , UUIDIA , INTEGER , 4
ZONE , RREF , REFERENCE , 500
ZONE , RATM , WORD , 500
ZONE , RATS , WORD , 500
ZONE , RLSTOR , TEXT , 500
ZONE , FSTAT , TEXT , 15
ZONE , FACODE , TEXT , 100
ZONE , UDATAB , INTEGER , 1000
ZONE , UDAFTB , REFERENCE , 1000
ZONE , UDASTB , TEXT , 1000
ZONE , SPCREF , REFERENCE , 1
ZONE , MODNME , TEXT , 100
ZONE , :FABELIST , REFERENCE , 100
ZONE , :FABMODNR , INTEGER , 1
ZONE , :FABTARGET , TEXT , 64
ZONE , :FABSOURCE , TEXT , 64
ZONE , :FABDECODE , TEXT , 80
ZONE , :FABPRID , TEXT , 80
ZONE , :FABSTID , TEXT , 80
ZONE , :FABCLID , TEXT , 80
ZONE , :FABEFID , TEXT , 80
ZONE , :FABTRRVNO , TEXT , 10
ZONE , :FABTRANO , INTEGER , 1
ZONE , :FABREVNO , INTEGER , 1
ZONE , :FABITIME , TEXT , 30
ZONE , :FABIDATE , TEXT , 30
ZONE , :FABETIME , TEXT , 20
ZONE , :FABEDATE , TEXT , 20
ZONE , :SDNFMODNR , INTEGER , 1
ZONE , :SDNFEDATE , TEXT , 20
ZONE , :SDNFETIME , TEXT , 20
ZONE , :SDNFIDATE , TEXT , 30
ZONE , :SDNFITIME , TEXT , 30
ZONE , :SDNFEFID , TEXT , 80
ZONE , :SDNFCLID , TEXT , 80
ZONE , :SDNFSTID , TEXT , 80
ZONE , :SDNFPRID , TEXT , 80
ZONE , :SDNFDECODE , TEXT , 80
ZONE , :SDNFSOURCE , TEXT , 64
ZONE , :SDNFTARGET , TEXT , 64
ZONE , :SDNFELIST , REFERENCE , 100
ZONE , :MDSBars , LOGICAL , 1
ZONE , :MDSCp1 , TEXT , 120
ZONE , :MDSCp2 , TEXT , 120
ZONE , :MDSCp3 , TEXT , 120
ZONE , :MDSEdit , LOGICAL , 1
ZONE , :MDSHangGroup , REAL , 1
ZONE , :MDSHangRot , TEXT , 120
ZONE , :MDSHv , TEXT , 10
ZONE , :MDSMaxBore , REAL , 1
ZONE , :MDSMaxPipes , REAL , 1
ZONE , :MDSMinBore , REAL , 1
ZONE , :MDSRange , TEXT , 50
ZONE , :MDSAutofile , TEXT , 120
GPWL , UDTYPE , INTEGER , 1
GPWL , TYPEX , INTEGER , 1
GPWL , NAME , TEXT , 500
GPWL , DESC , TEXT , 120
GPWL , FUNC , TEXT , 120
GPWL , PURP , WORD , 1
GPWL , RREF , REFERENCE , 500
GPWL , RATM , WORD , 500
GPWL , RATS , WORD , 500
GPWL , UDATAB , INTEGER , 1000
GPWL , UDAFTB , REFERENCE , 1000
GPWL , UDASTB , TEXT , 1000
GPSET , CACHID , INTEGER , 1
GPSET , NAME , TEXT , 500
GPSET , DESC , TEXT , 120
GPSET , FUNC , TEXT , 120
GPSET , SCOSEL , INTEGER , 500
GPSET , UDTYPE , INTEGER , 1
GPSET , TYPEX , INTEGER , 1
GPSET , UDATAB , INTEGER , 1000
GPSET , UDAFTB , REFERENCE , 1000
GPSET , UDASTB , TEXT , 1000
GPSET , :ACCEPT2D3DDIFFERENCE , LOGICAL , 1
GPSET , :MATCHINGENABLED , LOGICAL , 1
GPSET , :AVINT_UPDATE_DATE , TEXT , 16
GPSET , :AVINT_COMMENTS , TEXT , 120
